fid,PA,bat,mlotst_708,mlotst_707,mlotst_706,mlotst_705,mlotst_704,mlotst_703,chlor_0708,chlor_0707,chlor_0706,chlor_0705,chlor_0704,chlor_0703,sst_0708,sst_0707,sst_0706,sst_0705,sst_0704,sst_0703,Long,Lat
"42",0,-239,11.74963,12.66518,10.98666,39.21629,13.73333,199.59106,0.53755,0.47965,0.97224,1.03058,0.35195,0.29189,279.94937,279.5401,276.90414,276.10083,273.44104,276.48117,-20.458675,67.125055
"43",0,-262,11.29185,12.2074,10.98666,34.63851,21.36296,209.50958,0.51682,0.55159,0.75663,1.23198,0.33679,0.29877,280.15094,279.68878,277.18829,276.09741,273.57538,276.32343,-20.292015,67.125055
"44",0,-274,11.13926,11.74963,10.98666,30.97629,26.24592,213.32439,0.52213,0.52967,0.70801,1.26232,0.32562,0.26099,280.30057,279.75024,277.30698,276.13458,273.6499,276.23782,-20.208685,67.125055
"45",1,-300,10.98666,11.44444,10.83407,25.94073,28.6874,212.40883,0.53369,0.50948,0.77994,1.30692,0.33546,0.26166,280.48621,279.80267,277.39581,276.17114,273.74207,276.1601,-20.125355,67.125055
"46",0,-1544,16.48,10.83407,11.29185,20.75259,51.2711,84.99406,0.30823,0.31504,0.81147,0.87416,0.27786,0.2336,280.78754,279.82681,277.63644,274.57806,273.35748,273.34872,-11.375705,67.125055
"47",0,-1542,16.48,10.83407,11.29185,20.59999,51.72887,84.84146,0.305,0.42726,0.93864,0.90608,0.27993,0.23182,280.79715,279.85327,277.61514,274.57993,273.3703,273.36923,-11.292375,67.125055
"48",0,-569,10.83407,10.68148,10.98666,22.4311,15.10666,67.5985,0.45484,0.58199,0.51443,0.29879,0.26043,0.24138,278.34637,278.29355,275.09134,274.40717,273.81519,277.09247,-24.291855,67.041725
"49",0,-303,10.98666,10.83407,10.83407,17.85333,31.28147,203.86365,0.5083,0.38692,1.22486,1.44531,0.42996,0.25769,280.77875,279.93185,277.5441,276.20584,273.90662,276.19455,-20.042025,67.041725
"50",1,-305,11.13926,10.83407,10.83407,16.78518,33.26518,210.73032,0.53659,0.3602,1.23328,1.4843,0.419,0.24234,280.85355,279.96164,277.55801,276.23941,274.00882,276.14209,-19.958695,67.041725
"51",0,-303,11.44444,10.98666,10.83407,17.24296,35.40147,222.17476,0.54426,0.34098,1.32127,1.79903,0.39273,0.23591,280.94269,280.00809,277.57458,276.25348,274.12439,276.09576,-19.875365,67.041725
"52",0,-1533,16.17481,10.68148,11.29185,19.98962,54.93332,86.36739,0.32053,0.38777,0.77413,0.90366,0.27577,0.26353,280.76236,279.9913,277.77911,274.6618,273.41818,273.49878,-11.125715,67.041725
"53",0,-1526,16.17481,10.68148,11.29185,19.98962,54.32295,84.84146,0.32924,0.28345,0.68221,0.78437,0.26587,0.24311,280.75107,280.09802,277.81815,274.685,273.45926,273.4913,-11.042385,67.041725
"54",1,-411,11.44444,12.81777,12.66518,29.90814,18.15851,90.02961,0.54763,0.89036,0.45943,0.31955,0.23163,0.26194,279.56326,279.08322,275.93491,275.3313,274.7984,277.90628,-24.291855,66.958395
"55",1,-367,11.59703,13.42814,13.12296,32.95999,19.68444,101.01627,0.62799,0.99557,0.483,0.27236,0.27601,0.24998,279.8031,279.33859,275.65625,275.21432,274.91641,278.03149,-24.208525,66.958395
"56",0,-1000,10.68148,10.68148,10.52889,11.90222,19.83703,36.01184,0.45085,0.52601,,0.27943,0.27116,0.17532,277.54599,277.75049,,273.2301,272.52582,274.54871,-25.375145,66.875065
"57",0,-985,10.68148,10.68148,10.52889,12.66518,16.93777,40.89481,0.42879,0.52325,0.39059,0.2936,0.26732,0.16794,277.54297,277.83975,,273.46918,272.74072,274.93628,-25.291815,66.875065
"58",0,-951,10.83407,10.68148,10.83407,13.88592,15.41185,46.54073,0.41261,0.52118,0.4293,0.30364,0.23343,0.16579,277.53195,277.83856,,273.69037,273.00742,275.40482,-25.208485,66.875065
"59",0,-900,10.98666,10.83407,10.98666,15.71703,15.25926,46.23554,0.42883,0.54445,0.52025,0.30618,0.23881,0.19669,277.53543,277.80905,274.66589,273.92535,273.33459,275.95499,-25.125155,66.875065
"60",0,-864,11.29185,10.83407,11.13926,18.00592,16.02222,38.9111,0.43782,0.53212,0.67172,0.30526,0.23202,0.17366,277.58148,277.76105,274.74988,274.17276,273.68146,276.48065,-25.041825,66.875065
"61",0,-792,11.74963,11.13926,11.29185,20.29481,16.48,46.84591,0.46466,0.51901,0.69406,0.27442,0.22878,0.16869,277.68417,277.81406,275.1481,274.42023,274.06311,276.98779,-24.958495,66.875065
"62",1,-693,12.2074,11.44444,11.74963,25.33036,18.00592,62.86813,0.46002,0.67144,,0.2698,0.22682,0.18367,277.90628,277.95038,275.60556,274.74609,274.41281,277.39056,-24.875165,66.875065
"63",1,-563,12.51259,11.90222,12.2074,28.83999,19.53185,76.75405,0.47929,0.69914,,0.27597,0.22552,0.25673,278.19913,278.17877,276.02673,275.08939,274.76529,277.69232,-24.791835,66.875065
"64",1,-386,12.51259,12.51259,12.81777,29.45036,20.59999,87.58813,0.49313,0.7441,0.3681,0.28162,0.24307,0.28094,278.54758,278.46188,276.36096,275.43881,275.0723,277.93784,-24.708505,66.875065
"65",1,-271,12.51259,13.42814,13.58074,29.75555,21.05777,102.5422,0.51135,0.73605,0.34255,0.26799,0.24596,0.28539,278.93262,278.80554,276.69302,275.76544,275.3378,278.09064,-24.625175,66.875065
"66",1,-215,12.51259,14.49629,14.03852,32.65481,22.27851,113.52886,0.59712,0.78155,0.38926,0.26536,0.2468,0.25853,279.34717,279.17538,276.71799,276.05475,275.55884,278.15408,-24.541845,66.875065
"67",1,-201,12.66518,15.10666,14.49629,35.40147,23.34666,120.70071,0.68473,0.86933,0.5129,0.25516,0.24831,0.26963,279.76797,279.55746,276.70831,276.37143,275.73859,278.21863,-24.458515,66.875065
"68",1,-225,12.97037,15.71703,15.41185,37.99554,24.10962,126.49923,0.72857,0.90781,0.67226,0.25514,0.24411,0.25629,280.14142,279.92883,276.65067,276.62659,275.89685,278.08643,-24.375185,66.875065
"69",0,-232,13.12296,16.3274,16.48,46.54073,26.85629,140.38515,0.7302,1.01008,1.11679,0.25261,0.24307,0.243,280.46716,280.26617,277.0145,276.82925,276.05725,277.89258,-24.291855,66.875065
"70",0,-223,13.42814,16.17481,16.63259,55.23851,29.14518,153.81329,0.7406,0.98755,1.26907,0.24681,0.24106,0.23203,280.68265,280.55414,277.43295,277.12848,276.25952,277.37357,-24.208525,66.875065
"71",0,-633,11.59703,12.05481,12.66518,40.28444,22.5837,81.33183,0.60759,0.94365,1.02478,0.24433,0.21106,0.14532,282.62115,280.70184,281.29266,279.97034,277.5665,279.37665,-27.958375,65.875105
"72",0,-642,11.74963,12.51259,13.73333,42.57332,23.95703,84.53628,0.59242,0.81911,1.03484,0.24763,0.22403,0.15441,282.69101,280.75836,281.33044,279.88367,277.84918,279.41553,-27.875045,65.875105
"73",0,-667,12.05481,12.97037,13.88592,46.84591,27.92444,89.57183,0.5861,0.80239,1.06804,0.25499,0.2213,0.15392,282.70273,280.84024,281.37408,279.82184,278.10266,279.43097,-27.791715,65.875105
"74",1,-676,12.51259,13.27555,13.42814,53.2548,34.33332,96.2859,0.56253,0.80294,1.08041,0.26517,0.2229,0.14609,282.67514,280.95679,281.42773,279.78348,278.34067,279.42664,-27.708385,65.875105
"75",0,-688,12.97037,13.42814,14.49629,60.57924,38.60592,103.15257,0.54968,0.82826,1.11806,0.26809,0.22959,0.14201,282.61877,281.12424,281.48224,279.77063,278.54684,279.40674,-27.625055,65.875105
"76",1,-699,13.73333,13.58074,16.3274,68.20887,42.72591,113.52886,0.56963,0.80881,1.25577,0.25936,0.22186,0.14189,282.55078,281.35065,281.54288,279.77081,278.71448,279.38535,-27.541725,65.875105
"77",0,-691,14.19111,13.88592,16.63259,81.48442,53.86517,138.09627,0.59613,1.01819,1.10785,0.24604,0.21846,0.14424,282.49243,281.62778,281.60117,279.78281,278.85172,279.3783,-27.458395,65.875105
"78",0,-633,14.49629,14.19111,16.17481,101.77924,66.83554,169.37773,0.68174,1.09458,1.24442,0.23126,0.22762,0.1477,282.47006,281.91858,281.65201,279.79248,278.95193,279.41373,-27.375065,65.875105
"79",1,-570,14.64889,14.49629,15.71703,131.07701,78.58517,203.55847,0.70336,1.1782,1.26847,0.21111,0.23106,0.15757,282.49048,282.18973,281.6853,279.80698,279.02057,279.47409,-27.291735,65.875105
"80",0,-515,13.88592,14.64889,15.71703,147.55701,104.5259,249.03105,0.7188,1.20728,1.3119,0.20469,0.22352,0.16255,282.55347,282.41992,281.67709,279.82568,279.05795,279.55154,-27.208405,65.875105
"81",0,-492,13.73333,14.64889,15.86963,159.15404,120.70071,291.60437,0.73905,1.08301,1.33754,0.20802,0.20467,0.17973,282.67352,282.56314,281.60556,279.84174,279.07059,279.62469,-27.125075,65.875105
"82",0,-457,13.58074,13.12296,14.64889,115.20738,154.11848,276.03992,0.73111,1.07965,1.18527,0.23378,0.17058,0.17461,283.58438,282.92841,281.74298,279.84918,279.57599,279.82104,-27.125075,65.791775
"83",0,-434,13.88592,12.97037,14.64889,106.66219,156.25478,244.75845,0.7426,1.07768,1.15267,0.23296,0.17126,0.16706,283.60257,283.00095,281.71393,279.82959,279.53262,279.82083,-27.041745,65.791775
"84",0,-906,15.86963,12.05481,12.66518,64.54665,306.55844,413.98361,0.75833,0.55994,0.67786,0.84594,0.14774,,284.98813,284.70618,282.51404,280.42813,280.16556,280.06332,-27.958375,65.041805
"85",0,-904,16.02222,11.90222,12.66518,62.25776,322.88583,439.46655,0.67233,0.50533,0.60073,0.7074,0.15711,0.13171,285.00073,284.84708,282.57349,280.45093,280.21555,280.09152,-27.958375,64.958475
"86",0,-208,15.71703,11.13926,13.12296,48.37184,93.69183,109.25627,1.13273,0.71823,0.9769,0.54909,0.19996,0.17303,284.52121,285.20233,282.24075,279.93802,279.7226,279.48105,-26.708425,64.958475
"87",0,-192,16.02222,11.29185,12.81777,43.48888,82.55257,94.91257,1.15892,0.69047,0.88458,0.85319,0.21764,0.17839,284.50726,285.22324,282.24826,279.90536,279.63834,279.42352,-26.625095,64.958475
