fid,PA_rast,bat_reclas,mlotst_08,mlotst_07,mlotst_06,mlotst_05,mlotst_04,mlotst_03,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,Long,Lat
"11",0,-1104,11.13926,10.68148,13.12296,12.36,39.06369,81.17924,0.39067,0.26065,0.70224,0.29511,0.22973,0.22375,279.06857,277.74075,274.81519,273.24948,273.25174,273.27588,-16.458835,67.958355
"12",0,-1235,11.29185,10.68148,13.73333,12.81777,39.67406,84.68887,0.3844,0.26964,0.71127,0.30367,0.23822,0.22166,279.08008,277.79788,274.87708,273.27982,273.24847,273.25607,-16.375505,67.958355
"13",0,-1835,12.2074,10.83407,14.19111,26.24592,114.13923,127.1096,,1.73775,0.28167,0.83704,0.37155,0.30795,280.16058,279.28375,275.36508,273.46109,272.57938,272.65335,-12.708985,67.958355
"14",1,-1837,12.2074,10.83407,14.3437,26.39851,116.27553,127.87256,,1.8949,0.27595,0.81009,0.34781,0.31734,280.18625,279.28513,275.36981,273.46014,272.5694,272.65884,-12.625655,67.958355
"15",1,-1841,12.2074,10.68148,14.3437,26.7037,119.78516,130.46663,,1.4414,0.27722,0.80245,0.33939,0.31691,280.20892,279.27798,275.38528,273.4588,272.56021,272.66312,-12.542325,67.958355
"16",0,-1843,12.36,10.68148,14.3437,26.85629,124.51553,133.97626,,1.35406,0.27767,0.87726,0.37235,0.30066,280.23038,279.26569,275.41138,273.45633,272.54785,272.66711,-12.458995,67.958355
"17",0,-1881,12.51259,10.83407,13.58074,32.95999,236.97624,251.77771,0.74323,1.41454,0.24803,0.7127,0.37172,0.27427,280.07361,279.35675,275.89368,273.43875,272.70895,272.71323,-11.459035,67.958355
"18",0,-1887,12.51259,10.83407,13.42814,33.41777,246.58957,257.27106,0.69476,1.20652,0.25634,0.67778,0.36402,0.25178,280.07208,279.397,275.89362,273.4649,272.71802,272.73056,-11.375705,67.958355
"19",0,-1883,12.36,10.83407,13.42814,33.72295,254.52438,260.17032,0.56689,1.12228,0.25414,0.65733,0.39023,0.22467,280.08871,279.43698,275.88116,273.49533,272.72479,272.74915,-11.292375,67.958355
"20",0,-1864,12.36,10.68148,13.42814,34.02814,259.40735,261.69623,0.55899,0.83886,0.26069,0.7289,0.37652,0.25414,280.12463,279.47186,275.86465,273.52563,272.73138,272.77557,-11.209045,67.958355
"21",0,-1859,12.2074,10.68148,13.42814,34.33332,262.61179,263.83252,0.61615,0.57356,0.25206,0.71352,0.36775,0.27415,280.17435,279.50879,275.85193,273.5542,272.74295,272.80716,-11.125715,67.958355
"22",1,-1770,12.2074,10.68148,13.58074,34.63851,267.34216,271.91992,0.642,0.56666,0.24608,0.68049,0.34426,0.27055,280.23291,279.5358,275.84531,273.58176,272.75745,272.84509,-11.042385,67.958355
"23",0,-448,12.97037,10.52889,10.52889,10.68148,41.65777,30.8237,0.39005,0.48767,,,,,275.46738,,,,,,-25.791795,67.875025
"24",0,-1168,12.05481,10.52889,10.52889,11.74963,30.21333,40.43703,0.38747,0.39399,,,,,275.30777,273.53378,,,,,-25.291815,67.875025
"25",0,-1200,11.90222,10.52889,10.52889,11.74963,31.28147,44.09925,0.37637,0.42911,,,,,275.21786,273.58597,,,,,-25.208485,67.875025
"26",0,-1262,11.74963,10.52889,10.68148,11.90222,33.11258,48.98221,0.37117,0.51386,,,,,275.10776,273.58453,,,,,-25.125155,67.875025
"27",0,-1324,11.90222,10.52889,10.68148,12.05481,36.9274,52.33924,0.37418,0.47089,,,,,275.0473,273.5838,,,,,-25.041825,67.875025
"28",0,-1356,12.2074,10.52889,10.68148,12.05481,45.1674,52.18665,0.37838,0.45356,,,,,275.00598,273.54703,,,,,-24.958495,67.875025
"29",0,-1378,12.66518,10.52889,10.83407,11.90222,43.18369,52.94962,0.34225,0.51295,,,,,274.99622,273.58954,,,,,-24.875165,67.875025
"30",0,-1325,12.36,10.52889,10.52889,10.68148,23.49925,47.45628,0.36915,0.38787,,,,,275.66641,274.35687,,,,,-23.875205,67.875025
"31",0,-905,10.83407,10.83407,10.83407,11.29185,13.58074,57.52739,0.95847,0.32833,0.90445,0.46058,0.17172,0.19477,278.97028,278.73502,275.53564,273.12219,,274.15152,-20.791995,67.875025
"32",0,-891,10.83407,10.83407,10.98666,11.44444,13.73333,61.79998,0.9232,0.34413,0.94998,0.44605,0.16002,0.17926,279.0303,278.61627,275.54269,273.1629,,274.19333,-20.708665,67.875025
"33",0,-913,10.68148,10.83407,11.13926,11.44444,13.73333,68.51405,0.7496,0.35393,0.84537,0.38661,0.18183,0.22192,279.0979,278.46786,275.65396,273.20761,,274.20514,-20.625335,67.875025
"34",0,-953,10.68148,10.83407,11.13926,10.83407,21.66814,74.61776,0.59053,0.34044,0.47582,0.25132,0.21151,0.17226,279.01068,277.81494,275.12607,273.55399,,273.81836,-18.958735,67.875025
"35",1,-1107,10.98666,10.98666,11.13926,12.66518,36.01184,84.0785,0.45565,0.29582,0.56066,0.1983,0.23462,0.84835,278.95813,277.90485,274.87964,273.59048,273.75824,273.77136,-17.792115,67.875025
"36",0,-1041,11.13926,10.68148,12.66518,12.66518,45.47258,88.35109,0.49365,0.28621,0.62215,0.29556,0.27224,0.311,279.41699,278.01831,274.79419,273.39078,273.49783,273.79385,-16.625495,67.875025
"37",0,-1084,11.59703,10.83407,13.88592,14.49629,53.40739,92.47108,0.40741,0.34717,0.54694,0.28022,0.26134,0.37601,279.54419,278.29889,275.08167,273.28082,273.34396,273.95184,-16.292175,67.875025
"38",0,-1107,11.74963,10.83407,14.3437,15.25926,55.54369,94.60738,0.40463,0.35262,0.56137,0.29785,0.26305,0.31419,279.53177,278.36761,275.10712,273.3551,273.05453,273.97256,-16.208845,67.875025
"39",0,-1070,12.2074,10.98666,18.76888,31.73925,66.07258,83.46812,0.3174,0.26371,0.44548,0.28244,0.27117,0.23268,279.5524,278.25177,274.91336,273.41104,273.09897,273.48529,-15.042225,67.875025
"40",0,-1153,12.36,11.13926,16.93777,32.50221,65.00443,96.89627,0.37011,0.26299,0.41669,0.29938,0.24244,0.21233,279.59369,278.19357,274.7963,273.43158,273.1506,273.26666,-14.792235,67.875025
"41",0,-1179,12.36,11.13926,16.93777,32.50221,67.44591,98.4222,0.36365,0.24807,0.4295,0.28793,0.24637,0.24276,279.57071,278.1731,274.75241,273.453,273.14386,273.19382,-14.708905,67.875025
"42",0,-1196,12.36,11.13926,16.93777,32.50221,70.03999,97.35405,0.35153,0.25053,0.40473,0.29626,0.25584,0.26349,279.53384,278.16089,274.71542,273.46759,273.11401,273.12604,-14.625575,67.875025
"43",0,-1204,12.2074,10.98666,17.09037,32.34962,71.7185,90.79257,0.34046,0.24984,0.40563,0.30165,0.25372,0.25337,279.49255,278.1489,274.69189,273.45419,273.06815,273.06067,-14.542245,67.875025
"44",0,-1206,12.2074,10.98666,17.09037,31.43407,73.39702,85.14664,0.3273,0.2375,0.40544,0.3026,0.24668,0.24098,279.45187,278.13818,274.67795,273.439,273.00574,272.99564,-14.458915,67.875025
"45",0,-1211,12.05481,10.98666,17.09037,30.06073,74.00739,81.33183,0.31542,0.21414,0.4156,0.29964,0.24882,0.23893,279.42792,278.12503,274.68344,273.39618,272.93008,272.92801,-14.375585,67.875025
"46",0,-1222,11.90222,10.98666,17.09037,27.61925,73.39702,78.58517,0.29457,0.18527,0.38508,0.29646,0.26545,0.24474,279.42203,278.11252,274.68912,273.33847,272.85269,272.85422,-14.292255,67.875025
"47",0,-1234,11.90222,10.98666,17.09037,24.41481,70.80295,74.15998,0.2943,0.18546,0.39411,0.30056,0.26584,0.24508,279.43555,278.10559,274.69736,273.27246,272.77603,272.77536,-14.208925,67.875025
"48",0,-1245,11.90222,10.98666,16.93777,22.73629,68.97183,71.87109,0.2938,0.18096,0.3843,0.30674,0.26294,0.25217,279.4772,278.11917,274.70529,273.20807,272.70905,272.69183,-14.125595,67.875025
"49",0,-1258,11.90222,10.83407,16.93777,22.27851,68.66665,70.95554,0.29521,0.17408,0.35149,0.31483,0.26454,0.26754,279.53784,278.15729,274.71652,273.16156,272.65512,272.61157,-14.042265,67.875025
"50",0,-1346,11.90222,10.83407,16.78518,22.73629,71.87109,71.56591,0.30845,0.17589,0.34484,0.35848,0.2677,0.27916,279.60614,278.21484,274.73007,273.13373,272.61615,272.53955,-13.958935,67.875025
"51",0,-1563,11.90222,10.83407,17.09037,23.65185,78.89035,74.46516,0.32908,0.17009,0.3321,0.41967,0.30137,0.30189,279.67645,278.29166,274.75671,273.13702,272.5921,272.48413,-13.875605,67.875025
"52",0,-1530,11.90222,10.83407,17.24296,24.71999,86.97775,78.58517,0.33417,0.18112,0.326,0.47919,0.31352,0.30634,279.73926,278.37567,274.79785,273.16782,272.5795,272.45032,-13.792275,67.875025
"53",0,-1552,11.90222,10.83407,17.54814,25.94073,96.59109,84.0785,0.31288,0.18861,0.29169,0.57155,0.35447,0.2991,279.79373,278.45755,274.85406,273.21494,272.57504,272.43976,-13.708945,67.875025
"54",0,-1586,11.90222,10.83407,17.70074,27.61925,106.96738,94.3022,0.32826,0.22239,0.28477,0.58122,0.43679,0.31075,279.83713,278.52753,274.92496,273.27197,272.57813,272.44559,-13.625615,67.875025
"55",0,-1589,11.90222,10.98666,17.39555,28.53481,116.27553,101.47405,0.35211,0.26726,0.27341,0.68337,0.40496,0.31979,279.87155,278.59106,275.00702,273.32928,272.58459,272.46613,-13.542285,67.875025
"56",0,-1574,11.90222,10.98666,16.78518,28.6874,123.59997,107.73035,0.36227,0.30944,0.26581,0.75788,0.3962,0.32156,279.90039,278.64938,275.09689,273.38281,272.59225,272.49594,-13.458955,67.875025
"57",0,-1611,11.90222,10.98666,15.71703,27.77184,130.77182,115.35997,0.36513,0.36582,0.26591,0.84956,0.41538,0.32251,279.92511,278.71396,275.18936,273.42722,272.59967,272.52951,-13.375625,67.875025
"58",0,-1722,12.05481,10.83407,15.10666,27.00888,132.90811,120.8533,0.31976,0.45793,0.25478,0.9313,0.43134,0.32942,279.95059,278.78693,275.27719,273.46173,272.60617,272.56131,-13.292295,67.875025
"59",0,-1792,12.05481,10.83407,14.80148,26.7037,131.53477,123.90515,0.29581,0.4915,0.25358,0.97934,0.40229,0.3307,279.97769,278.87759,275.3537,273.48672,272.61008,272.59259,-13.208965,67.875025
"60",0,-1801,12.05481,10.83407,14.64889,26.5511,128.78812,125.88885,0.28782,0.52438,0.25674,0.96619,0.36826,0.32782,280.00513,278.98212,275.41232,273.50272,272.61005,272.61719,-13.125635,67.875025
"61",1,-1839,12.2074,10.83407,14.19111,25.48296,117.49627,126.80441,0.37932,0.82495,0.26985,0.80286,0.35073,0.31493,280.09628,279.27264,275.49911,273.539,272.60666,272.66849,-12.875645,67.875025
"62",1,-1839,12.2074,10.68148,14.19111,25.17777,113.83405,126.49923,0.38088,1.02666,0.27443,0.79651,0.35293,0.31212,280.12766,279.33102,275.51013,273.54816,272.60654,272.6799,-12.792315,67.875025
"63",1,-1836,12.36,10.68148,14.19111,25.17777,112.7659,126.49923,0.38479,1.40227,0.27305,0.77181,0.34164,0.30875,280.15759,279.37247,275.52023,273.55569,272.60684,272.69028,-12.708985,67.875025
"64",0,-1834,12.36,10.68148,14.19111,25.48296,113.52886,128.63553,0.4087,1.25807,0.2724,0.8384,0.41539,0.32573,280.18784,279.39014,275.53021,273.56116,272.60791,272.69806,-12.625655,67.875025
"65",0,-1835,12.51259,10.68148,14.19111,25.78814,115.97034,131.68738,0.39645,0.96485,0.26976,0.78183,0.39447,0.31366,280.21512,279.39377,275.5379,273.5665,272.60596,272.70621,-12.542325,67.875025
"66",0,-1836,12.51259,10.83407,14.03852,25.94073,124.51553,135.19701,0.41995,1.02559,0.27109,0.72719,0.38546,0.30777,280.24023,279.39117,275.55103,273.57065,272.6033,272.71432,-12.458995,67.875025
"67",0,-1838,12.66518,10.83407,14.19111,26.09333,130.00885,149.54071,0.4531,1.26914,0.28168,0.71065,0.3757,0.30471,280.2637,279.38367,275.56766,273.57358,272.6012,272.72043,-12.375665,67.875025
"68",0,-1839,12.66518,10.83407,14.3437,26.39851,137.02811,159.15404,0.51588,2.85829,0.27665,0.58967,0.38611,0.29011,280.28207,279.38269,275.59164,273.57782,272.59955,272.72626,-12.292335,67.875025
"69",0,-1839,12.66518,10.83407,14.3437,26.5511,148.16737,163.57922,0.55507,3.15599,0.27735,0.79746,0.34308,0.30027,280.29602,279.38968,275.62537,273.5798,272.60086,272.73007,-12.209005,67.875025
"70",0,-1840,12.66518,10.83407,14.19111,27.31407,173.80292,179.90662,0.41799,2.50116,0.28346,0.93623,0.27847,0.30866,280.3063,279.41675,275.72372,273.57834,272.61966,272.73541,-12.042345,67.875025
"71",0,-1843,12.51259,10.83407,13.88592,27.61925,188.29921,180.3644,0.43635,1.45953,0.25391,0.92345,0.32049,0.30007,280.29749,279.43152,275.78476,273.57156,272.64096,272.73792,-11.959015,67.875025
"72",0,-1846,12.51259,10.83407,13.58074,28.07703,208.28883,191.35106,0.45325,1.62793,0.24501,0.91175,0.36936,0.28069,280.27963,279.44275,275.8454,273.56149,272.66333,272.73984,-11.875685,67.875025
"73",0,-1849,12.36,10.83407,13.58074,29.14518,228.43106,197.30217,0.47632,1.54865,0.2496,0.85318,0.38358,0.28325,280.25375,279.45026,275.90369,273.54782,272.6897,272.7442,-11.792355,67.875025
"74",0,-1852,12.36,10.68148,13.58074,30.21333,241.24883,206.61032,0.48875,1.49612,0.25496,0.81307,0.36955,0.29004,280.22488,279.45801,275.95367,273.53662,272.71524,272.75168,-11.709025,67.875025
"75",0,-1855,12.36,10.68148,13.58074,31.43407,251.47253,220.03847,0.5804,1.48811,0.26307,0.77391,0.36491,0.29891,280.19684,279.46661,275.99023,273.52771,272.7395,272.76028,-11.625695,67.875025
"76",0,-1858,12.36,10.68148,13.58074,32.19703,258.49179,232.70364,0.58532,1.25969,0.25486,0.78897,0.35869,0.29024,280.17679,279.4762,276.01721,273.52612,272.75974,272.76962,-11.542365,67.875025
"77",0,-1862,12.2074,10.68148,13.42814,32.19703,261.84882,239.11253,0.63403,0.95983,0.25577,0.73699,0.40384,0.26992,280.16663,279.4902,276.02969,273.53253,272.77365,272.77963,-11.459035,67.875025
"78",0,-1866,12.2074,10.68148,13.42814,31.89184,263.52734,244.75845,0.67224,0.81885,0.25682,0.73884,0.45247,0.24836,280.17593,279.50745,276.02939,273.54504,272.78098,272.7879,-11.375705,67.875025
"79",0,-1873,12.2074,10.68148,13.42814,31.73925,264.59549,253.91402,0.56798,0.69109,0.25029,0.7714,0.39395,0.25588,280.19934,279.52637,276.02655,273.56073,272.78806,272.79855,-11.292375,67.875025
"80",0,-1884,12.05481,10.68148,13.42814,31.58666,265.35846,267.79993,0.58647,0.62397,0.26131,0.76071,0.35854,0.27279,280.23441,279.5488,276.01822,273.57806,272.79138,272.81262,-11.209045,67.875025
"81",0,-1895,12.05481,10.68148,13.42814,31.73925,268.10513,276.95547,0.65021,0.61791,0.25882,0.74373,0.3423,0.27503,280.28476,279.5766,276.01318,273.59369,272.7991,272.83115,-11.125715,67.875025
"82",0,-1901,12.05481,10.68148,13.42814,31.89184,272.83548,282.90659,0.69511,0.62399,0.25703,0.72581,0.33319,0.27352,280.34305,279.60312,276.01514,273.60831,272.80728,272.85397,-11.042385,67.875025
"83",0,-1896,12.05481,10.68148,13.58074,32.19703,281.99103,298.01324,0.77557,0.61758,0.25159,0.7279,0.31913,0.26837,280.40204,279.62173,276.02112,273.62442,272.81705,272.87814,-10.959055,67.875025
"84",0,-1894,12.05481,10.68148,13.58074,33.26518,297.25031,305.18512,0.81431,0.70957,0.25495,0.69722,0.33069,0.26875,280.45636,279.63672,276.04379,273.63895,272.82996,272.90253,-10.875725,67.875025
"85",0,-1896,12.05481,10.68148,13.58074,34.18073,308.99991,310.52585,0.81656,0.79233,0.26653,0.7218,0.32186,0.28007,280.4993,279.64108,276.06912,273.65891,272.84024,272.92233,-10.792395,67.875025
"86",0,-1927,12.2074,10.68148,13.42814,36.77481,318.76584,328.22659,0.72317,0.80936,0.29246,0.78867,0.31453,0.28231,280.55313,279.64197,276.12732,273.70908,272.85959,272.95157,-10.625735,67.875025
"87",0,-1930,12.2074,10.68148,13.42814,38.45332,319.07104,333.26215,0.6636,0.85418,0.28812,0.83011,0.29438,0.2668,280.56906,279.64175,276.14844,273.7326,272.86514,272.96292,-10.542405,67.875025
"88",0,-1941,12.36,10.68148,13.27555,40.58962,318.46066,336.46658,0.63318,0.85682,0.2857,0.7904,0.29779,0.263,280.58224,279.64743,276.16516,273.75381,272.871,272.97754,-10.459075,67.875025
"89",0,-1945,12.51259,10.83407,13.27555,42.72591,314.34067,341.9599,0.61786,0.85581,0.28423,0.73521,0.31187,0.26507,280.59882,279.65961,276.17688,273.77274,272.87552,272.99454,-10.375745,67.875025
"90",0,-1957,12.66518,10.83407,13.27555,44.86221,306.40585,342.57028,0.57823,0.90673,0.28343,0.72396,0.31426,0.25546,280.62054,279.67654,276.19608,273.78943,272.87842,273.01587,-10.292415,67.875025
"91",0,-1840,12.66518,10.83407,13.27555,46.38814,295.11401,342.11252,0.55796,0.88822,0.27416,0.66682,0.3161,0.25509,280.64719,279.69757,276.21652,273.80386,272.88354,273.04294,-10.209085,67.875025
"92",0,-1767,12.51259,10.83407,13.27555,47.1511,277.10809,342.11252,0.56546,0.83694,0.275,0.6496,0.31651,0.25238,280.67523,279.71274,276.24103,273.81552,272.89182,273.07117,-10.125755,67.875025
"93",0,-1784,12.51259,10.83407,13.27555,49.74517,276.49771,342.11252,0.5282,0.74442,0.27033,0.633,0.32657,0.24349,280.70428,279.72433,276.27328,273.82669,272.90176,273.09991,-10.042425,67.875025
"94",0,-1801,12.36,10.83407,13.27555,52.79702,275.73474,337.68732,0.47756,0.69268,0.26875,0.53463,0.33685,0.24739,280.73282,279.7326,276.31009,273.8396,272.9169,273.12595,-9.959095,67.875025
"95",0,-1823,12.36,10.83407,13.27555,55.84887,272.37772,328.83694,0.48321,0.77044,0.27297,0.64627,0.32623,0.26047,280.75525,279.73306,276.34082,273.84973,272.93542,273.15155,-9.875765,67.875025
"96",0,-1820,12.2074,10.83407,13.42814,58.13776,264.13773,308.84732,0.46256,0.81316,0.27209,0.72965,0.29731,0.2611,280.77429,279.72375,276.3678,273.85864,272.95599,273.18036,-9.792435,67.875025
"97",0,-1782,12.2074,10.83407,13.58074,60.57924,259.40735,287.63696,0.4339,0.8498,0.27623,0.73823,0.27973,0.26819,280.79001,279.72119,276.38705,273.87006,272.98038,273.20999,-9.709105,67.875025
"98",0,-1711,12.2074,10.83407,13.58074,62.10517,254.52438,267.34216,0.4226,0.93467,0.27216,0.70619,0.28381,0.28836,280.79968,279.72208,276.40024,273.88129,273.00266,273.23886,-9.625775,67.875025
"99",0,-1487,12.2074,10.83407,13.73333,62.86813,245.36884,242.0118,0.43958,1.00174,0.27603,0.72397,0.24804,0.26879,280.80963,279.71857,276.4162,273.89429,273.02695,273.26526,-9.542445,67.875025
"100",0,-1129,12.2074,10.83407,13.73333,61.18961,225.5318,219.12291,0.46193,1.11373,0.2823,0.71473,0.26857,0.26602,280.81802,279.72043,276.43274,273.90823,273.05121,273.28513,-9.459115,67.875025
"101",0,-395,12.81777,10.52889,10.52889,10.98666,40.74221,29.75555,0.56523,0.35454,,,,,275.42554,,,,,,-25.875125,67.791695
"102",0,-1453,13.27555,10.52889,10.68148,11.44444,37.84295,50.50814,0.34107,0.40288,,,,,275.03369,273.84146,,,,,-24.791835,67.791695
"103",0,-1482,13.27555,10.52889,10.68148,11.29185,38.45332,48.37184,0.35625,0.41134,,,,,275.08749,273.89722,,,,,-24.708505,67.791695
"104",0,-1506,13.27555,10.52889,10.68148,11.44444,37.23258,39.82666,0.34918,0.49955,,,,,275.13934,273.96381,,,,,-24.625175,67.791695
"105",0,-1201,11.90222,10.52889,10.68148,10.52889,21.21037,53.10221,0.36544,0.49559,,,,,275.88321,274.13043,,,,,-23.875205,67.791695
"106",0,-1121,11.59703,10.52889,10.52889,10.52889,19.07407,35.55407,0.36445,0.71222,,,,,276.75143,274.68903,,,,,-23.625215,67.791695
"107",1,-848,11.29185,10.98666,10.68148,10.68148,11.29185,78.12739,1.16613,0.34021,0.91859,0.51824,0.22907,,279.03143,279.19336,276.862,273.98026,,274.16754,-21.041985,67.791695
"108",1,-849,11.13926,10.98666,10.68148,10.83407,11.44444,81.17924,1.07635,0.36145,0.88712,1.07417,0.22983,,279.04166,279.22971,276.78342,273.99792,,274.2424,-20.958655,67.791695
"109",0,-844,10.98666,10.83407,10.68148,11.13926,11.44444,88.96146,0.98165,0.35115,0.8981,0.75947,0.21283,,279.0881,279.21988,276.62848,274.02969,,274.29187,-20.875325,67.791695
"110",0,-822,10.83407,10.83407,10.98666,11.29185,11.29185,105.74664,0.87562,0.35213,0.91333,0.91161,0.20902,,279.16071,279.16513,276.46335,274.08139,,274.31674,-20.791995,67.791695
"111",0,-783,10.83407,10.83407,12.36,12.36,17.09037,101.77924,0.93131,0.36293,0.53602,0.6251,0.20901,0.22421,279.3804,278.80359,276.0672,274.35886,,274.08633,-18.958735,67.791695
"112",1,-1060,11.44444,10.98666,11.74963,13.88592,42.42073,98.11701,0.48634,0.3452,0.60593,0.37353,0.22389,0.19097,279.13397,278.04926,275.21121,273.89841,273.96564,273.84647,-17.875445,67.791695
"113",1,-1073,11.29185,11.13926,11.74963,14.3437,50.81332,102.5422,0.48373,0.37065,0.69039,0.35151,0.23176,0.84904,279.17023,278.08615,275.19666,273.84613,273.91812,273.79321,-17.792115,67.791695
"114",0,-1057,11.44444,10.98666,12.81777,17.09037,84.99406,122.68442,0.48928,0.46404,0.62194,0.3188,0.25737,0.19435,279.62274,278.3298,274.89743,273.8609,273.75128,273.98486,-16.792155,67.791695
"115",0,-993,11.74963,10.83407,13.58074,19.83703,81.02665,117.03849,0.50141,0.3653,0.67366,0.30315,0.26031,0.5899,279.98367,278.83658,275.28775,273.75662,273.5903,274.57867,-16.125515,67.791695
"116",0,-988,11.74963,10.83407,13.73333,20.59999,81.33183,115.20738,0.50194,0.35642,0.59184,0.30271,0.26179,0.45123,279.97546,278.83603,275.22552,273.84967,273.59814,274.53754,-16.042185,67.791695
"117",0,-1017,12.05481,10.98666,18.31111,32.8074,65.4622,87.28294,0.34791,0.25257,0.42302,0.31071,0.26431,0.22437,279.70654,278.47873,274.99377,273.62476,273.33011,273.59302,-15.042225,67.791695
"118",0,-1632,12.2074,10.83407,14.64889,26.24592,125.58367,123.90515,0.35618,0.57323,0.25634,0.87555,0.39084,0.30076,279.95847,278.73627,275.40164,273.54666,272.62769,272.61575,-13.208965,67.791695
"119",0,-1676,12.2074,10.83407,14.3437,25.78814,123.75256,124.66811,0.36335,0.76867,0.27658,0.89148,0.36268,0.30058,279.97845,278.86606,275.45953,273.56705,272.62201,272.64267,-13.125635,67.791695
"120",0,-1709,12.2074,10.83407,14.19111,25.33036,120.70071,124.66811,0.39693,0.68251,0.27466,0.91842,0.34677,0.29668,280.00153,279.00137,275.51587,273.58469,272.61557,272.66727,-13.042305,67.791695
"121",1,-1805,12.36,10.68148,14.03852,24.87259,119.63256,124.66811,0.39044,0.58121,0.2701,0.95801,0.34147,0.29756,280.02579,279.13626,275.5625,273.59998,272.6088,272.68625,-12.958975,67.791695
"122",0,-1828,12.36,10.68148,14.03852,24.71999,117.03849,124.82071,0.37805,0.52037,0.26793,0.97264,0.34054,0.30225,280.0524,279.24646,275.60886,273.61435,272.60623,272.70343,-12.875645,67.791695
"123",0,-1857,12.51259,10.68148,13.12296,37.69036,322.73325,336.00882,0.5774,0.76247,0.29401,0.6761,0.33246,0.26743,280.60794,279.63672,276.23718,273.72574,272.85165,272.95053,-10.542405,67.791695
"124",0,-1883,12.51259,10.68148,13.12296,39.67406,322.58066,332.194,0.55756,0.75031,0.28346,0.95524,0.32208,0.26918,280.62943,279.64005,276.24176,273.75198,272.86884,272.97534,-10.459075,67.791695
"125",0,-1943,12.66518,10.68148,13.12296,41.65777,321.6651,329.29474,0.52961,0.64253,0.27888,0.72662,0.30165,0.27703,280.65491,279.65521,276.24387,273.7775,272.88794,273.00635,-10.375745,67.791695
"126",0,-1688,12.81777,10.68148,13.12296,44.09925,314.49326,336.61917,0.5158,0.58466,0.28265,0.65116,0.30069,0.26688,280.68634,279.67798,276.25436,273.79987,272.90747,273.03809,-10.292415,67.791695
"127",0,-1442,12.81777,10.83407,13.12296,45.47258,286.26364,341.80731,0.49385,0.61555,0.28773,0.65454,0.28573,0.26272,280.71967,279.70261,276.26303,273.81665,272.92798,273.07257,-10.209085,67.791695
"128",0,-1632,12.81777,10.83407,13.27555,46.99851,270.85178,343.79102,0.45234,0.64992,0.28782,0.64165,0.29596,0.25074,280.75513,279.7272,276.28458,273.83051,272.9473,273.10086,-10.125755,67.791695
"129",0,-1831,12.66518,10.83407,13.27555,55.23851,272.83548,337.68732,0.46039,0.59113,0.29462,0.7417,0.3215,0.26243,280.81653,279.75754,276.33865,273.85211,272.98007,273.14703,-9.959095,67.791695
"130",0,-1825,12.51259,10.83407,13.42814,59.20591,263.22217,323.6488,0.48023,0.61925,0.28967,0.8816,0.31787,0.27013,280.83981,279.76395,276.36652,273.85925,272.99506,273.16998,-9.875765,67.791695
"131",0,-388,13.27555,10.52889,10.52889,11.90222,36.9274,32.04444,0.31528,0.347,,,,,275.41428,273.24173,,,,,-25.958455,67.708365
"132",0,-1460,13.12296,10.52889,10.52889,11.13926,25.78814,42.42073,0.36842,0.42751,,,,,275.28711,273.89023,,,,,-24.541845,67.708365
